,mal_id,title,airing,synopsis,type,episodes,score,members,rated,image_url
0,1735,Naruto: Shippuuden,False,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the myster...",TV,500,8.24,2125623,PG-13,https://cdn.myanimelist.net/images/anime/1565/111305.jpg?s=a92272fe7a37f1c114011b406d5390c8
1,16870,The Last: Naruto the Movie,False,Two years have passed since the end of the Fourth Great Ninja War. Konohagakure has remained in a state of peace and harmony—until Sixth Hokage Kakashi Hatake notices the moon is dangerously approachi...,Movie,1,7.78,518914,PG-13,https://cdn.myanimelist.net/images/anime/10/67631.jpg?s=d84468711f6c7b6c122e4822fb4ab805
2,28755,Boruto: Naruto the Movie,False,"The spirited Boruto Uzumaki, son of Seventh Hokage Naruto, is a skilled ninja who possesses the same brashness and passion his father once had. However, the constant absence of his father, who is busy...",Movie,1,7.42,416472,PG-13,https://cdn.myanimelist.net/images/anime/4/78280.jpg?s=9d8b257b29ff99f0f136562547d0d465
3,4437,Naruto: Shippuuden Movie 2 - Kizuna,False,"Unleashing a devastating surprise attack, flying ninjas from the Land of Sky are seeking revenge against their old enemy Konohagakure. Despite his eagerness to join the fight, Naruto Uzumaki is held u...",Movie,1,7.28,237299,PG-13,https://cdn.myanimelist.net/images/anime/3/17830.jpg?s=bb43646538390435098f5ef84faa0437
4,32365,Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,False,Bundled with the limited edition of Blu-ray/DVD of Boruto: Naruto the Movie.,Special,1,7.36,99256,PG-13,https://cdn.myanimelist.net/images/anime/6/77678.jpg?s=fc407cec1b4439623be598ad1eb31867
5,10589,Naruto: Shippuuden Movie 5 - Blood Prison,False,"During their discussion of a sensitive investigation A, the Fourth Raikage, and his subordinates are ambushed by a cloaked intruder. As the Kumogakure leader repels the assault, he is shocked to disco...",Movie,1,7.45,213537,PG-13,https://cdn.myanimelist.net/images/anime/13/41403.jpg?s=f4f60444cfbcda379ad585d64316a1c6
6,8246,Naruto: Shippuuden Movie 4 - The Lost Tower,False,"Led by Yamato, Naruto Uzumaki, Sakura Haruno, and Sai are assigned to capture Mukade, a rogue ninja who is pursuing the ancient chakra Ryuumyaku located underneath the Rouran ruins. While the Ryuumyak...",Movie,1,7.42,223926,PG-13,https://cdn.myanimelist.net/images/anime/1479/116734.jpg?s=b548d20a8e17963f03657b92f37df886
7,13667,Naruto: Shippuuden Movie 6 - Road to Ninja,False,"Returning home to Konohagakure, the young ninja celebrate defeating a group of supposed Akatsuki members. Naruto Uzumaki and Sakura Haruno, however, feel differently. Naruto is jealous of his comrades...",Movie,1,7.67,301986,PG-13,https://cdn.myanimelist.net/images/anime/1620/94336.jpg?s=12e72e32bba541ac795227b2278f8c72
8,2472,Naruto: Shippuuden Movie 1,False,"A group of ninja is planning to revive a powerful demon, and once its spirit is reunited with its body, the world will be destroyed. The only way to prevent this from happening is for Shion, a shrine...",Movie,1,7.29,266645,PG-13,https://cdn.myanimelist.net/images/anime/6/79705.jpg?s=80162f3e16a4b76638f535bf23ac324c
9,442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,False,"Naruto Uzumaki and his squadmates, Sasuke Uchiha and Sakura Haruno, are sent on a mission to escort a movie crew on its way to film in the Land of Snow. They soon find out that they are accompanying a...",Movie,1,7.11,265972,PG-13,https://cdn.myanimelist.net/images/anime/6/76015.jpg?s=cf22c3c0297cf6dca2fb1c97ced2cd41
10,12979,Naruto SD: Rock Lee no Seishun Full-Power Ninden,False,"The competitive shinobi world has proven to be challenging for Rock Lee, who lacks the typically required abilities. To compensate for this handicap, the young ninja tenaciously endures severe trainin...",TV,51,7.16,86435,PG-13,https://cdn.myanimelist.net/images/anime/13/36475.jpg?s=afbabba381a6eebe252dc3c6ed09067a
11,936,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,False,"In a tumultuous effort, the Sunagakure ninjas attempt to repel an unforeseen invasion of mysterious armored warriors on the Land of Wind. Shortly afterwards, the same armored troops led by Temujin—a s...",Movie,1,6.87,213138,PG-13,https://cdn.myanimelist.net/images/anime/11/76016.jpg?s=77c701f8a3bd608240c69f4080212431
12,2144,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,False,"Led by Kakashi Hatake, Naruto Uzumaki, Sakura Haruno, and Rock Lee are tasked to escort the extravagant Prince Michiru Tsuki and his spoiled son Hikaru to the prosperous Land of Moon when the two retu...",Movie,1,6.91,188508,PG-13,https://cdn.myanimelist.net/images/anime/6/76017.jpg?s=07ffbcb450ac4c783fc80d64c302cd4c
13,20,Naruto,False,"Moments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi'...",TV,220,7.97,2492990,PG-13,https://cdn.myanimelist.net/images/anime/13/17405.jpg?s=59241469eb470604a792add6fbe7cce6
14,6325,Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,False,"After being sent to investigate the alarming disappearance of four bloodline limit-wielding ninjas from different countries, Kakashi Hatake, Naruto Uzumaki, Sakura Haruno, and Sai successfully discove...",Movie,1,7.33,183949,PG-13,https://cdn.myanimelist.net/images/anime/1493/116732.jpg?s=e4ad4f9c01d532b7068ac7bed5604d73
15,10075,Naruto x UT,False,"All-new animation offered throughout UNIQLO clothing stores in Japan on January 1, 2011. The DVD contains an exclusive version of Mayonaka Orchestra, by the Japanese rock band Aqua Timez. A limited nu...",OVA,1,7.38,48475,PG-13,https://cdn.myanimelist.net/images/anime/3/30485.jpg?s=0e585f452876ec490cd1f922d26fad36
16,4134,"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",False,Naruto school special. Naruto is a new cool student and when he meets Sasuke they start fighting.,Special,1,7.15,60990,PG-13,https://cdn.myanimelist.net/images/anime/5/51895.jpg?s=50657ee2b01cf3e31680314e7fe65981
17,34566,Boruto: Naruto Next Generations,True,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts...",TV,0,5.83,754182,PG-13,https://cdn.myanimelist.net/images/anime/9/84460.jpg?s=ae561b0c245d07556cbdfbbf1ee374a9
18,19511,Naruto: Shippuuden - Sunny Side Battle,False,"Back at their childhood home, siblings Itachi and Sasuke Uchiha experience an unusual morning together when Itachi becomes obsessed with cooking the perfect fried egg for Sasuke. Despite being complet...",Special,1,7.54,62469,PG-13,https://cdn.myanimelist.net/images/anime/1047/91638.jpg?s=0fc6795322dd479caca2103d775de05b
19,10659,Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,False,"While enjoying a barbecue alongside team members and peers, Naruto Uzumaki stumbles upon a strange old bottle that houses a genie! The mythical being is willing to grant three wishes, but in a flurry...",Movie,1,6.96,48940,PG-13,https://cdn.myanimelist.net/images/anime/10/31573.jpg?s=6a58b632acb146691169f14b2d9f5860
20,10686,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,False,"As the Fourth Great Ninja War quickly approaches, Sunagakure hosts a special Chunin exam to strengthen the troops of the Allied Shinobi Forces. Among the participants are Konohamaru Sarutobi, an ambit...",Movie,1,7.17,70689,PG-13,https://cdn.myanimelist.net/images/anime/9/30813.jpg?s=55399a5c0c95cad6a6fb83e09dba727c
